Opcode,SHA-256 Hash
bcc,6a64a07c720c6c71b48aa44c34d8aa83cb6afdc5eea437c080429e886f1152bb
eorsmi,948fa99f9c88a74eb350ed7d94d19cfc85db7516af241c2ba1aef60e53195365
rsbmi,7d6c6f3742047983cd448fb6d97fef080edec0bdcb0aa9295353771bbc71dbb9
sublt.w,31d7bcc9e7906add45f2bd1cb2d753d43adbe0c9ed20d3df73ad578665b470e5
sublt,421dad0045217b543a5702efcf20ed938dcbb0a803d3ecea85b0ad97d11700d6
strlt.w,2b63f8256367892113fac3a5d05ec838f1fbc4f2d8c7c4d859008b003e4d39c1
vcvt.s32.f32,d4fd707d0d7ff544120f8f9a7f380f5f108306dd7e3d201d4fa1ce39a4d3397b
vfma.f32,32a8e0c6b2b63e32b8092e2f027eb0cb6f6639f127180942ede3274ec90551ee
sxth,6008155c203827982b9c1b7ba162b3e216550c697a5f95a2fbe414a3444afdce
sbcmi,bee1a359fdd64ceb77e3ffdcda05d461916f4170227a928fe6c1e6c87455e739
vneg.f32,dde12c19aac972d2616841d9d6da1df5f5b2a671127d8cbef07aa5f7a51feb76
vmulgt.f32,55e5bdf68a634a4b935a956a65c5b3aa4e4fe9df221360ac68faf786f83479b3
vnmulle.f32,aa3964d57c9364145510cb59e2881916e2f88abe98bf5f6ba70c1ff472338294
ittet,fc65166711629621f2983da504334b7b12f2119e1934abe9a82a9e1592510f87
addgt.w,ab0841eead980ba1bfb94c9849008a1eb0f1cefcb6c4bed1a2ed2f7cf4625adb
vldrgt,e47f0bbd8bddc8479e4c38114f3e2f4bbb50ae0088288165ccd7a39c088e5028
vldrle,b6577b5aa0f44b58db5ad8e71edbcd4632c105b96e4c4c9ba9893ec894d3b9c2
strmi,7806e485317384d0ad730aec7c6c70ada3978e754ace8bfca7cedaa983581719
stccc,8b53ec45d85ce24379504a08f952ba6e57790f97f6960b47612c7f66f2591b50
vstmiacc,dc2852493f7572f5fc024dd17d38a2be27e203171a64c919bbffef14afb8832d
tstmi,5a9524e134862f8f7cf0074b7042412041af91d7e7455528c957f0b321959c42
mla,5ce21a37cce43deb39af0e05733782bf7fd6e2ced84c6a1ab35bbf0856ce7bb3
movhi,37607b1b15d425d26f19bc2bde4feeeadd56d062bfbbaa7c80a2eec293a66424
strbhi.w,be738aab2f1a0b3ea165a06b0749cbba226e835d546e56fe14e8e0b41f55599c
strne.w,956981a08ded237c8026049e527e3c66838da586744758ccb01a2708cc09c048
vnmul.f32,cb5f6bcfcff5f0472cc647e52221a25aebe6a12ddb8f32869d06bf6c777aeaf5
movmi,8bf379d72443b0ecfd509f8eb898ff381846323464f76be9e2a45bd173ef2e09
movpl,47ac5ffae51675e83a58c3309101d338f820bb53516517b8d6a5f4073025a841
ldrmi,0c0947de2f8a85cd29bc9ffbac29420956f227f0cc9a77c48baff181eba4e504
strle.w,f7d3dbc3499e675af438ad266fc574db6c08627f446fe0814193ad62e5131777
strgt.w,744e2c982a1a1797da20ef8c82277b27fa56e71c797dde534deb285507abeb6d
adcmi,d39eb3bfa40a20b1b28801fe9e39b5c6d3db8c095c983b10a40ca15456a6c5a0
ldmia,369b1f70ca284df6c64e6d74af6800b31f200106a9d95dca379113ff973b39bd
vcvt.u32.f32,0b3b6d11990b32dffeedc383fc2682b15eba558345b09066b47c0396570203d6
stclcc,990ca495211fd3559baa62dc55e7f06e9e352f43956e589347cc6ebc01888bc8
tbb,a6d8041be9d6bf36af9423cbbd835901e0b3280b11209bf5b3ae27eea74c1964
vaddeq.f16,edeb9705e2add828b7991056800587ccd44d82e2377b288653b0e5aa9e838d8a
ldrcc,3ee185840fb63d84571b9389b610cc6416607f6f8bc7e86d561352d38107e743
ldmdbcc,a2b57fa8c7385786147528ce94d5ffc76954f5e76202669f8a0242d566ca38be
eorseq,a08dd4242c1869893631fb09186481f713d8b5a9459259537f60e790df28c9ce
andge,cd28bb796878a80b202d56eaf0643c056fe24cdcc285970c7d6151c358ad66ed
cmnmi,913d97ee27f8fe477542f55bcd37e9f5a4ab622b3ac870575eb87aefb524e02e
